hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
288	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ac2d	8c6s	5h 7h Th 7s Ts	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Call|Fold|Fold|Call	tie
289	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2hAh	9h8s	2c Th Jh Js Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Call|Raise:2.50|Call	tie
290	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jc6s	Ah7s	Qd 3h 5h 3s 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Call|Call|Fold	tie
291	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8hTh	TdAh	Qc Ac 4d 3h Kh	Raise:2.50	Raise:2.50	-6.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	2	Raise:2.50|Fold	Raise:2.50|Fold|Fold|Call|Call|Call|Call|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call	loss
292	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KcKh	7sJs	3c 5c Tc 8h 3s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Call|Raise:2.50|Fold	tie
293	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h8h	2cTh	Td 2h Kh 3s Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Raise:2.50|Call|Call	tie
294	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cQs	3c4c	Ac 5h Kh 4s Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Fold|Fold|Fold|Call|Call|Call	tie
295	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9h7s	9dJd	7c Kc 4h Jh 8s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Call|Raise:2.50	tie
296	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JsAs	5hTs	5d 8d 6h Qh 6s	Raise:2.50	Call	-6.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	2	Raise:2.50|Fold	Call|Raise:2.50|Call|Call|Fold|Fold|Call|Call|Call|Call|Call|Call|Check|Check|Check|Raise:2.50|Call|Call	loss
297	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ac9s	6cKd	Tc Kc 4h 5h 8h	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Call|Call|Call|Call|Call	tie
298	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5hJs	Kh3s	4c Jc Ac 9d 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Call|Call|Raise:2.50|Fold	tie
299	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c9h	8cTd	2c 8d 3h 7s As	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Call|Call|Raise:2.50	tie
300	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5dKd	Qh7s	Tc 3d 8d 3s 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Call|Raise:2.50	tie
301	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	AdKs	4c2h	Jc 2d Td Qh Ah	Raise:2.50	Call	71.5000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	4	Raise:2.50|Call|Call|Call	Call|Raise:2.50|Call|Call|Fold|Call|Fold|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Fold|Call|Call|Fold|Raise:2.50|Call|Call|Call	win
302	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c8d	5d5h	Jc Qd 8h 9h 5s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Raise:2.50|Call|Call|Raise:2.50|Call	tie
303	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KhKs	5s7s	3c 7c 6d 7d Qd	Raise:2.50	Fold	-13.5000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	4	Raise:2.50|Call|Raise:2.50|Call|Call	Fold|Fold|Fold|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Check|Check|Check|Check|Check|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Fold|Call|Call|Check|Raise:2.50|Call|Call|Call	loss
304	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7c2s	7hQh	Jc 3d 4d 6d Kd	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Raise:2.50|Call|Fold|Fold	tie
305	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2d3h	Ad3s	9c Tc 7h Jh 8s	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Call|Call|Call|Call	tie
306	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c7d	8d8h	Ad 3h 9h Qh Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Fold|Fold|Fold|Call	tie
307	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cKd	TcAh	2h 8h 9s Ts Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Fold|Fold|Fold|Call|Call|Call	tie
308	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jd4s	8c4h	3c Jc Kc 3h Ks	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Raise:2.50|Fold|Fold|Call|Call	tie
309	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6sKs	Kd3s	9h Th 4s Ts Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Raise:2.50|Call|Fold	tie
310	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7d4s	2c2s	Tc Qc Jh 3s 5s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Call|Call|Fold|Raise:2.50	tie
311	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5d5s	3h9h	6c Kc 4d 7d 4s	Raise:2.50	Call	-6.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	2	Raise:2.50|Fold	Call|Fold|Raise:2.50|Fold|Fold|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call	loss
312	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdAd	9h9s	Kc Ac 6d Kh Ah	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Raise:2.50|Fold|Fold|Call|Call	tie
313	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QcJs	8dJh	5d 7d 8h Ah Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Raise:2.50|Call|Call|Call	tie
314	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6h2s	2dKs	6c 8c 3h Qh 8s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Call|Fold|Fold	tie
315	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3dKh	2d8d	Ad 6h Th 2s 8s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Fold|Call|Call|Raise:2.50|Fold|Fold	tie
316	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7hTs	2c5h	3c Jc Qd 8h Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Raise:2.50|Call|Call	tie
317	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6s8s	2sKs	Tc 4d 5d Th As	Raise:2.50	Call	-8.5000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	3	Raise:2.50|Call|Fold	Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call	loss
318	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9hKs	2cKh	3c Kc Qd 6h 7s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
319	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c4s	5c7c	Jc Jd 9h Kh 8s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Fold|Call|Call|Raise:2.50	tie
320	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2h3s	4c6d	3c Tc Qc Ac Qd	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Call|Raise:2.50|Call	tie
321	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cJs	JhTs	5c Kd 5h 4s 6s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Call|Call|Call|Fold|Fold	tie
322	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4c7c	Ah8s	6d Qd Th Qh 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Call|Raise:2.50|Call|Raise:2.50	tie
323	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2d5d	3dKd	4d 3h 7h 9h Ah	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Raise:2.50|Call|Raise:2.50|Call|Call	tie
324	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KcQd	5c8h	Td Kh 6s Ts As	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Fold|Call|Fold|Raise:2.50|Call|Raise:2.50	tie
325	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2h7h	Jd4h	2c Kc Jh 6s 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Raise:2.50|Call|Call|Call	tie
326	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5cAc	JcQs	9c 5d Jd 8h 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Raise:2.50|Raise:2.50|Call|Call|Call	tie
327	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4hJh	3dTd	5c Kc Qd Kd 5h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Raise:2.50|Fold|Call|Call|Raise:2.50	tie
328	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdKs	7c5d	Jc Ad 8h 4s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Call|Fold|Raise:2.50|Call	tie
329	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8cJh	2d4h	Qc 3d Qd 5h Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Raise:2.50|Raise:2.50|Call|Call	tie
330	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4sTs	6d9s	Jc 8h Ah 7s Js	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Call|Raise:2.50|Call	tie
331	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kh7s	JdKs	4c 7c 3d 7h Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Fold|Call|Call|Call	tie
332	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7d2h	5sAs	8d 4h Qh Ah 2s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Raise:2.50|Call|Call|Raise:2.50|Call	tie
333	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4c2h	9cQd	2c 7d 4s 6s 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Call|Call|Fold	tie
334	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6d4s	Th2s	Qc Kd Ad 9s Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Call|Raise:2.50|Call	tie
335	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdAs	5cAh	4c Qc Ad 3h 8h	Raise:2.50	Fold	65.5000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Call	Fold|Raise:2.50|Fold|Call|Call|Call|Fold|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Fold|Call	win
336	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jc4d	AhQs	4c Ac 9d Td 7s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Call|Fold|Fold|Raise:2.50|Call	tie
337	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3d3h	Tc7s	Jd Jh 8s Ts As	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Raise:2.50|Call|Call|Call	tie
338	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JhQh	5dKs	2c 3c 7h Js Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Fold|Raise:2.50	tie
339	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4dTs	Jc2s	8c 9d 9h 6s Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Raise:2.50|Raise:2.50|Call	tie
340	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cTd	7hQs	9c 3d 2s 4s 8s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Call|Fold|Fold|Call|Call	tie
341	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5h9h	2hKs	9c Tc 3h 2s Js	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Raise:2.50|Call|Call|Call	tie
342	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c7s	3d8h	Jc 2d Qd Kd 5s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Fold|Call|Call|Raise:2.50|Call|Fold	tie
343	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jd9h	8dKd	Tc 7d Ad 3s Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Call|Raise:2.50|Fold|Fold|Call	tie
344	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qd3s	QsKs	4d 5d Ah 6s As	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Call|Fold|Call|Raise:2.50	tie
345	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c7c	6d8d	Qc Ad 4h 8h 9h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Call|Raise:2.50	tie
346	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Th5s	Kh8s	8c 6d 2h 7s As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Raise:2.50|Call|Call|Call	tie
347	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2cKd	5hTh	7c 4d Qd 7h Kh	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Call|Call|Raise:2.50|Fold	tie
348	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QdKd	Kc7d	3c 3d 6d Ah 7s	Raise:2.50	Call	-11.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	4	Raise:2.50|Call|Call|Call|Fold	Call|Call|Call|Call|Call|Call|Fold|Fold|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Fold|Call|Call|Call|Call	loss
349	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QcTd	Qd4s	7d 8d 5h 6h 9s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Fold|Raise:2.50|Call|Call	tie
350	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9cAs	JcTh	6c Kc 3d 4d 7s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Raise:2.50|Call|Call	tie
351	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4d5h	7sKs	9c 3d 6h Ah 8s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Call|Raise:2.50|Call	tie
352	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3hKs	AdKh	6c Ah 8s Js As	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Fold|Fold|Fold|Call|Raise:2.50|Call	tie
353	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KdJh	7cQc	4c 2h 9h Qh Ks	Raise:2.50	Call	-13.5000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	4	Raise:2.50|Call|Call|Call|Call	Call|Fold|Fold|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Fold|Raise:2.50|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call	loss
354	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dQs	Qc5s	2c Jc Kc Ac As	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Raise:2.50|Call	tie
355	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3dAs	4c8d	3c Tc Jd Jh 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Call|Raise:2.50	tie
356	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3d2s	6dTh	7d Qd Kd 6s Ts	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Call|Fold|Raise:2.50|Call	tie
357	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dQd	5c7c	4c Ac Td 3s Ks	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Raise:2.50|Fold|Fold|Fold|Call	tie
358	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7s8s	6h7h	7d 3h 5h 4s Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Raise:2.50|Call|Raise:2.50	tie
359	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6hQs	7c3h	2c Jc 6d 6s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Raise:2.50|Call	tie
360	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jc8h	7dKd	Tc Jd Qd 6s Js	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
361	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8c6s	Jh3s	Jc 3d Qd 4h 6h	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Fold|Call|Call|Raise:2.50|Fold|Fold	tie
362	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kc5s	4c7d	8c 8d Qd 4h Jh	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Fold|Call|Call|Call|Call|Call	tie
363	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2h4s	4c6c	Ad 4h 6h Qh 7s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Raise:2.50|Call|Call|Call|Call	tie
364	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cKd	JhJs	2c 3h 7h 3s Ks	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Raise:2.50|Call|Raise:2.50|Call|Call|Call	tie
