hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
106	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ac9d	QcAs	4c Kc Kd 4h 7h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Call|Raise:2.50|Fold|Fold|Call	tie
107	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5dJs	8c3h	5c Tc Jc Jd 7h	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Raise:2.50|Call|Call	tie
108	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Qc9d	5h5s	7c Ad Kh Js Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Call|Call|Call	tie
109	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8cKs	4h3s	7d Ad 3h 6h Th	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Call|Call|Fold|Raise:2.50	tie
110	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kd7h	9hAs	3c Ac Qd 7s Qs	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Fold|Call|Raise:2.50	tie
111	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c9d	5d7d	5c 9c Ac Ah 5s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Raise:2.50|Fold|Call|Call|Call|Call	tie
112	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JhKh	Qc8d	3c 2d 3d 2h 8s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Raise:2.50|Call|Fold|Fold|Call	tie
113	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2d8h	2hAh	7c Jd Qd 9s Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Fold	tie
114	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KdKh	QdTs	Kc Ac Jd 3h 6h	Raise:2.50	Fold	76.0000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Call|Call	Fold|Fold|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call|Call|Fold|Check|Check|Check|Raise:2.50|Call|Call|Call|Call	win
115	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Tc8s	7hKh	7c Kd 2s 5s 7s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Fold|Raise:2.50|Call	tie
