hand	heroPosition	heroHole	board	winningsChips	winningsBb	decisions	villainObservations	action
2225	BigBlind	TsKs		1800	18.000	2	3	b200b450b1800b3500f
2226	Button	9sKs	JdTd2h	300	3.000	2	3	b300c/kb450f
2227	BigBlind	2d6s		200	2.000	1	2	b200b300f
2228	Button	6c9c	Ad5c2h8d	2500	25.000	4	6	b250b750b1250c/kb1250c/kb2500f
2229	BigBlind	8dTs	QhTh5c	300	3.000	2	3	b200b300c/b450f
2230	Button	Ac2h	9h3d2s	300	3.000	2	3	b300c/kb450f
2231	BigBlind	9sTs		50	0.500	0	1	f
2232	Button	5d8s	QsJsTs7d	2000	20.000	4	6	b250c/kb250c/kb500b1500b2500f
2233	BigBlind	Kc6s	9c4c3d	300	3.000	2	3	b200b300c/b300f
2234	Button	9sQs		100	1.000	1	1	b300f
2235	BigBlind	5c5d		50	0.500	0	1	f
2236	Button	8d9h	Qs8h6h4h6d	-4150	-41.500	4	7	b250c/kb400c/kb1000c/kb2500c
2237	BigBlind	JcKs	Tc3h2cTd6s	10800	108.000	5	6	b200b450c/b450c/b900c/b1800b9000b16200f
2238	Button	4d9h		750	7.500	2	2	b250b750b1250f
2239	BigBlind	3cQh	AhTd4d7cJd	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
2240	Button	6hAs		900	9.000	2	2	b300b900b1800f
2241	BigBlind	Kd9h		200	2.000	1	2	b200b300f
2242	Button	8cKh		100	1.000	1	1	b300f
2243	BigBlind	QdKs	AhJhTs	450	4.500	2	3	b200b450c/b700f
2244	Button	JcAd	9s7c6cQdTc	-20000	-200.000	4	4	b300c/b300b600b2400b4200b19700c//
2245	BigBlind	8c5s	9d8d6cTdQh	7400	74.000	5	6	b200b300c/b450b1500b3400c/b3700c/b7400f
2246	Button	7dTd	Ac9c3d	250	2.500	2	3	b250c/kb250f
2247	BigBlind	2dTd	7d6c5h	300	3.000	2	3	b200b300c/b300f
2248	Button	Jd9h		100	1.000	1	1	b300f
2249	BigBlind	7d4h	Js6s2c3h	600	6.000	3	4	b200b300c/b300c/b600f
2250	Button	6dKs	Kc9d4s	1800	18.000	3	4	b300b900b1800c/kb2700f
2251	BigBlind	8h9h	Jc8c7c	2000	20.000	3	4	b200b300c/b450b1700b3750f
2252	Button	4d5s	Ac3s3c	250	2.500	2	3	b250c/kb250f
2253	BigBlind	Ah7s	KdJsJd6c2h	1800	18.000	4	5	b200b450c/b450c/b900c/b1800f
2254	Button	Ac7h		100	1.000	1	1	b300f
2255	BigBlind	5sJs	As7s4c6s7c	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
2256	Button	AhTs	Jc8c6s3c5c	1500	15.000	4	7	b300c/kb450c/kb750c/kb1500f
2257	BigBlind	6hAs		50	0.500	0	1	f
2258	Button	Jd3h		100	1.000	1	1	b250f
2259	BigBlind	4dJd	Jc7s6cTd8s	-20000	-200.000	5	6	b200b300c/b450c/b1150c/b2850b8900b18100c
2260	Button	8dKs		100	1.000	1	1	b300f
2261	BigBlind	3hTs		50	0.500	0	1	f
2262	Button	5c7h	9s8h2d	250	2.500	2	3	b250c/kb250f
2263	BigBlind	2d3d		50	0.500	0	1	f
2264	Button	2c5h	6d4s3d7sAh	20000	200.000	4	3	b250b750b1250b6750b12250b20000c///
2265	BigBlind	4sJs	Ks5h3h	300	3.000	2	3	b200b300c/b300f
2266	Button	8c8h		100	1.000	1	1	b300f
2267	BigBlind	6h2s	AsKsTh8c	600	6.000	3	4	b200b300c/b300c/b600f
2268	Button	2hAh		100	1.000	1	1	b300f
2269	BigBlind	4c7s	AdQc9c5c9d	-7200	-72.000	5	6	b200b300c/b300c/b600b1800b3000c/b3600c
2270	Button	Kc9h		100	1.000	1	1	b300f
2271	BigBlind	8cTd		200	2.000	1	2	b200b300f
2272	Button	KdJs	5h3d3cAs	750	7.500	3	5	b300c/kb450c/kb1150f
2273	BigBlind	JcQh	Qs9d4dTc	3600	36.000	4	5	b200b300c/b450c/b1150b2850b7000f
2274	Button	Qd3s	Ts6h4c9h	2500	25.000	4	6	b250b750b1250c/kb1250c/kb2500f
2275	BigBlind	KhKs	QsTs3s	450	4.500	2	3	b200b450c/b700f
2276	Button	6d8s	6s5h3h	250	2.500	2	3	b250c/kb400f
2277	BigBlind	7dAd		50	0.500	0	1	f
2278	Button	4dQh	Jd7d6sKc2h	-10000	-100.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb5000c
2279	BigBlind	AdJh	Jc4h4c	450	4.500	2	3	b200b450c/b700f
2280	Button	5d5h		100	1.000	1	1	b300f
2281	BigBlind	2h3s	AsKs9c	300	3.000	2	3	b200b300c/b300f
2282	Button	7dTd	Th9c4h	250	2.500	2	3	b250c/kb400f
2283	BigBlind	Ad8h		200	2.000	1	2	b200b450f
2284	Button	2hJh	Qs5s2s4cAd	-20000	-200.000	4	3	b250b750b1250b6750b12250b20000c///
2285	BigBlind	4dQs		50	0.500	0	1	f
2286	Button	TsAs		100	1.000	1	1	b300f
2287	BigBlind	2h8h	Qd4s3s4c	600	6.000	3	4	b200b300c/b300c/b600f
2288	Button	3d3h	Ks9h9c2s6c	-4750	-47.500	4	7	b300c/kb450c/kb1150c/kb2850c
2289	BigBlind	Ad4s		200	2.000	1	2	b200b300f
2290	Button	4hTh	7c6s5s2h	500	5.000	3	5	b250c/kb250c/kb500f
2291	BigBlind	JcQs	KsQh8d5hKd	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
2292	Button	7dJh	JdTc5c8h	1050	10.500	3	5	b250c/b250b800c/kb1600f
2293	BigBlind	AcTs	6d4s2hJc	8750	87.500	4	5	b200b450b1800b3500c/b5250c/b8750f
2294	Button	Ac4h	8h7c5sQdKc	-2400	-24.000	4	7	b300c/kb300c/kb600c/kb1200c
2295	BigBlind	9dAh	9h6h2s	2400	24.000	3	4	b200b450c/b700b1950b4600f
2296	Button	Td6h	Jc9d3c	250	2.500	2	3	b250c/kb250f
2297	BigBlind	KcKh		200	2.000	1	2	b200b450f
2298	Button	5hKs		100	1.000	1	1	b300f
2299	BigBlind	Ac2h		200	2.000	1	2	b200b300f
2300	Button	Jd2s		750	7.500	2	2	b250b750b1250f
2301	BigBlind	KcJd	AdTh4d5sTc	-3600	-36.000	4	5	b200b450c/b450c/b900c/b1800c
2302	Button	TcJs		100	1.000	1	1	b300f
2303	BigBlind	3cQh		200	2.000	1	2	b200b300f
2304	Button	Ac9s		100	1.000	1	1	b300f
2305	BigBlind	9hKh	Js7d3cJc5s	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
2306	Button	8c9d		100	1.000	1	1	b250f
2307	BigBlind	4cKd	Kh7c6c8s	750	7.500	3	4	b200b300c/b450c/b1150f
2308	Button	7h8h		100	1.000	1	1	b250f
2309	BigBlind	QcQh		200	2.000	1	2	b200b450f
2310	Button	ThKh		100	1.000	1	1	b300f
2311	BigBlind	9c3s	Kc9s9dJd	750	7.500	3	4	b200b300c/b450c/b1150f
2312	Button	7d9h	JhTs2h3s6h	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
2313	BigBlind	3dAs	4s3c2c	300	3.000	2	3	b200b300c/b450f
2314	Button	Kd9h		900	9.000	2	2	b300b900b1800f
2315	BigBlind	5d9s	Ts8s3cTc	600	6.000	3	4	b200b300c/b300c/b600f
2316	Button	3dQh		100	1.000	1	1	b250f
2317	BigBlind	Kd4s		200	2.000	1	2	b200b300f
2318	Button	Td6s	KcJdTsQh3d	1300	13.000	4	7	b250c/kb400c/kb650c/kb1300f
2319	BigBlind	Qc6s		50	0.500	0	1	f
2320	Button	5dJh	Jd4c2cAhAd	-4150	-41.500	4	7	b250c/kb400c/kb1000c/kb2500c
2321	BigBlind	Kc3h		50	0.500	0	1	f
2322	Button	9dJd	Kc8d7d	1800	18.000	3	4	b300b900b1800c/kb2700f
2323	BigBlind	8cQd	5h5c4c	300	3.000	2	3	b200b300c/b300f
2324	Button	Jh3s	AcQd6d8h5c	-20000	-200.000	5	6	b250b750b1250c/b1000b2000c/b4250b8500b16750c/
2325	BigBlind	Td8s		-3300	-33.000	3	3	b200b300b1800b3300b20000f
2326	Button	6cQh	KhTh4dKc	1200	12.000	3	5	b300c/kb300c/b600b1200f
2327	BigBlind	9d6s	Qh8d4s	300	3.000	2	3	b200b300c/b300f
2328	Button	Th4s	QdJc4h	250	2.500	2	3	b250c/kb400f
2329	BigBlind	2d2s	KcQsQhQc	600	6.000	3	4	b200b300c/b300c/b900f
2330	Button	Kc5d		100	1.000	1	1	b300f
2331	BigBlind	2s5s		200	2.000	1	2	b200b300f
2332	Button	4h3s	Th8c5hJc2h	1000	10.000	4	7	b250c/kb250c/kb500c/kb1000f
2333	BigBlind	5dQh	7c6h4c8c	6600	66.000	4	5	b200b300b1800b3300c/b3300c/b9900f
2334	Button	5c8s	AcKh7sJs4d	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
2335	BigBlind	Qd2s		50	0.500	0	1	f
2336	Button	8h9s	Jd6h2dAs8s	-4250	-42.500	4	7	b250c/kb250c/kb500c/b1000b3250c
2337	BigBlind	6h9s	AdKd8s9h4c	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
2338	Button	3h7h	6h5d3s3cTs	20000	200.000	4	5	b250b750b1250c/kb1900b10000b18750c//
2339	BigBlind	8cJh	Td7h4cKh	600	6.000	3	4	b200b300c/b300c/b600f
2340	Button	QdJs		100	1.000	1	1	b300f
2341	BigBlind	5cJd	KhJsJcKc9s	-20000	-200.000	5	5	b200b300c/b450c/b1150c/b2850b18100c
2342	Button	7d4s		100	1.000	1	1	b250f
2343	BigBlind	8hTh	5d4h3s	300	3.000	2	3	b200b300c/b300f
2344	Button	8hKh		100	1.000	1	1	b300f
2345	BigBlind	KcQs		50	0.500	0	1	f
2346	Button	8dTh		100	1.000	1	1	b250f
2347	BigBlind	2h3h		200	2.000	1	2	b200b300f
2348	Button	2c7c	Kc5h4sJs	500	5.000	3	5	b250c/kb250c/kb500f
2349	BigBlind	Jc3s	Ad5s2c5h6d	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
2350	Button	TdAs		100	1.000	1	1	b300f
2351	BigBlind	3c9s	AhTd3s	300	3.000	2	3	b200b300c/b300f
2352	Button	2h9s	KdTs5hQh6h	-10000	-100.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb5000c
2353	BigBlind	5cQd	Ad8s2c3h	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
2354	Button	7cJc	As6c4s7h4c	1500	15.000	4	7	b300c/kb300c/kb900c/kb2250f
2355	BigBlind	8dTs	AcQc4s	300	3.000	2	3	b200b300c/b300f
2356	Button	7dJd		100	1.000	1	1	b300f
2357	BigBlind	5cTc	5h4c3h	300	3.000	2	3	b200b300c/b450f
2358	Button	JdQs		100	1.000	1	1	b300f
2359	BigBlind	Kd3s	Qd8s3h	300	3.000	2	3	b200b300c/b450f
2360	Button	9cKc	Ad5h4sJh	3600	36.000	4	6	b300b900b1800c/kb1800c/kb3600f
2361	BigBlind	8dJd		200	2.000	1	2	b200b300f
2362	Button	2cJh	QhJdTsTc7s	-20000	-200.000	4	5	b250b750b1250b6750b12250c/kb7750c//
2363	BigBlind	9cQd	9d6h2s3h	750	7.500	3	4	b200b300c/b450c/b1150f
2364	Button	JdQs	Kh8d3h9h	600	6.000	3	5	b300c/kb300c/kb600f
2365	BigBlind	KcTd		200	2.000	1	2	b200b300f
2366	Button	6h2s		100	1.000	1	1	b250f
2367	BigBlind	6cKd	9s8c7h	300	3.000	2	3	b200b300c/b300f
2368	Button	Kc4s	Jd9c3d	300	3.000	2	3	b300c/kb300f
2369	BigBlind	TcJs	9c7c4c7h	750	7.500	3	4	b200b300c/b450c/b750f
2370	Button	2c9h	TdTc5h	250	2.500	2	3	b250c/kb250f
2371	BigBlind	6h9h	Td9c6d	300	3.000	2	3	b200b300c/b450f
2372	Button	Kh9s	7c4d3c	1200	12.000	3	4	b300c/kb300b900b1500f
2373	BigBlind	9sTs	AsKd6s	300	3.000	2	3	b200b300c/b300f
2374	Button	4d7s	QhTc6d	250	2.500	2	3	b250c/kb250f
2375	BigBlind	9sKs		200	2.000	1	2	b200b450f
2376	Button	2h4h	Qs7s6hJhAd	6000	60.000	5	8	b250c/kb250c/kb500c/kb1000b5000b9000f
2377	BigBlind	TsQs		200	2.000	1	2	b200b450f
2378	Button	3d3s		100	1.000	1	1	b300f
2379	BigBlind	9hAs		200	2.000	1	2	b200b450f
2380	Button	JsQs	8s3c2s	300	3.000	2	3	b300c/kb450f
2381	BigBlind	2cJd		50	0.500	0	1	f
2382	Button	5c2d	AdKs7hTcQs	-20000	-200.000	5	8	b250b750b1250c/kb1250c/kb2500c/b8500b15000c
2383	BigBlind	6cQd	KcTd9h	300	3.000	2	3	b200b300c/b300f
2384	Button	AcKs		100	1.000	1	1	b300f
2385	BigBlind	3dQs	6h2s2d6dTs	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
2386	Button	8c4s	8h6h2s	250	2.500	2	3	b250c/kb400f
2387	BigBlind	8hQs	Qh8c7c	1200	12.000	3	4	b200b300c/b450b900b2350f
2388	Button	6c2h	Js3c2c	250	2.500	2	3	b250c/kb400f
2389	BigBlind	7c9c	KcQs8c	300	3.000	2	3	b200b300c/b300f
2390	Button	3s6s	Kd8d5s	250	2.500	2	3	b250c/kb250f
2391	BigBlind	Kc9s		50	0.500	0	1	f
2392	Button	TdJh		100	1.000	1	1	b300f
2393	BigBlind	9h4s	QhTs9s3c7d	12000	120.000	5	6	b200b300c/b300b2400b4500c/b7200c/b8000f
2394	Button	2hJh	Qd4h3c	250	2.500	2	3	b250c/kb250f
2395	BigBlind	QhKh		200	2.000	1	2	b200b450f
2396	Button	Th3s	7d4h3h	3000	30.000	3	4	b250c/b250b800b2750b5800f
2397	BigBlind	Jc7h	KhKc3d3s	600	6.000	3	4	b200b300c/b300c/b600f
2398	Button	Qd5s	Jd5h4h7d4c	-20000	-200.000	5	6	b300c/kb450b900b2350c/b4550b11950b17350c/
2399	BigBlind	Jd7s		50	0.500	0	1	f
2400	Button	3c6s	Ts4s3h9sQc	-20000	-200.000	4	4	b250c/b250b800b2750b5800b19750c//
2401	BigBlind	Qc2h	Ah5h3sTh4d	0	0.000	4	5	b200b300c/b300c/b600c/b1800c
2402	Button	4hKs		900	9.000	2	2	b300b900b1800f
2403	BigBlind	6hAh	JsJc5dTs5c	5400	54.000	5	6	b200b450c/b450b1350b2250c/b2700c/b5400f
2404	Button	8c2s		750	7.500	2	2	b250b750b1250f
2405	BigBlind	3dJs	KcJh3h6c	750	7.500	3	4	b200b300c/b450c/b1150f
2406	Button	7dTd		100	1.000	1	1	b250f
2407	BigBlind	8c6s		200	2.000	1	2	b200b300f
2408	Button	4hAs	Js9h6c2s7c	-2400	-24.000	4	7	b300c/kb300c/kb600c/kb1200c
2409	BigBlind	4hKh	7h4c2h4dTc	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
2410	Button	7dJs	9h6c4c3d	1000	10.000	3	5	b250c/kb250c/b500b1000f
2411	BigBlind	Ac5h	AhJhJd	300	3.000	2	3	b200b300c/b450f
2412	Button	8d6h	Qs7h5c2d2h	5000	50.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb5000f
2413	BigBlind	3c8c	5s5c3h	1200	12.000	3	4	b200b300c/b450b900b2350f
2414	Button	6h9s	Qh4h2s4s	-4250	-42.500	5	6	b250b750b1250c/b250b500c/b1250b2500b18250f
2415	BigBlind	AcAh		200	2.000	1	2	b200b450f
2416	Button	TcKh		100	1.000	1	1	b300f
2417	BigBlind	9c8h	KcJc4c6h3c	1200	12.000	4	5	b200b300c/b300c/b600c/b1800f
2418	Button	4d2h		750	7.500	2	2	b250b750b1250f
2419	BigBlind	AdKh		50	0.500	0	1	f
2420	Button	JdJh	Ah8s4dAc	750	7.500	3	5	b300c/kb450c/kb1150f
2421	BigBlind	Jc2s	AsKcQs8sAh	-12000	-120.000	5	6	b200b300c/b300c/b600b3000b5400c/b6000c
2422	Button	9d3s	KhTh6d2h3c	2000	20.000	4	7	b250c/kb250c/kb500c/kb1000c
2423	BigBlind	4dJh		50	0.500	0	1	f
2424	Button	Kh8s	Ah6h2h5h6d	20000	200.000	5	8	b300b900b1800c/kb2700c/kb6750c/kb8750c
2425	BigBlind	4d5s		200	2.000	1	2	b200b300f
2426	Button	4c8d		100	1.000	1	1	b250f
2427	BigBlind	2d3s	9s6c2c	300	3.000	2	3	b200b300c/b450f
2428	Button	5cTd	AsQhTsKsKd	-20000	-200.000	6	8	b250b750b1250c/b250b2300c/kb3550c/kb7100b12900c
2429	BigBlind	4h2s	KcJc6h	-6600	-66.000	4	4	b200b300b1800b3300c/b3300b16700f
2430	Button	4dKh		100	1.000	1	1	b300f
2431	BigBlind	9cQd	Tc9s4cTd	750	7.500	3	4	b200b300c/b450c/b1150f
2432	Button	AdAh		100	1.000	1	1	b300f
2433	BigBlind	Th3s	8h5c2s9s8s	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
2434	Button	9d5h	Qd5s5d2s9s	4150	41.500	4	7	b250c/kb400c/kb1000c/kb2500c
2435	BigBlind	6h8h	QsTd2c	300	3.000	2	3	b200b300c/b300f
2436	Button	KdKs	8d4s3s	300	3.000	2	3	b300c/kb450f
2437	BigBlind	5dJh		200	2.000	1	2	b200b300f
2438	Button	Ad2h		100	1.000	1	1	b300f
2439	BigBlind	3cJh		200	2.000	1	2	b200b300f
2440	Button	5hTs	9s8d4sKh3s	5000	50.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb5000f
2441	BigBlind	7d5h		50	0.500	0	1	f
2442	Button	Kh7s		100	1.000	1	1	b300f
2443	BigBlind	3s9s	Ah7d4h3c7h	-20000	-200.000	5	5	b200b300c/b300c/b600b1800b3000b19400c/
2444	Button	4hQs	AdQdJd5s	650	6.500	3	5	b250c/kb400c/kb1000f
2445	BigBlind	Jc9d	AsJh7h	300	3.000	2	3	b200b300c/b450f
2446	Button	AcAs		100	1.000	1	1	b300f
2447	BigBlind	9dKs	KdTh9h	1200	12.000	3	4	b200b300c/b450b900b2350f
2448	Button	6dQd		100	1.000	1	1	b300f
2449	BigBlind	8cAd	AsQhJs4d3h	2900	29.000	4	5	b200b450c/b700c/b1750c/b4350f
2450	Button	2d6d	Qs8h6h	250	2.500	2	3	b250c/kb400f
2451	BigBlind	6h8s		200	2.000	1	2	b200b300f
2452	Button	3c9d		750	7.500	2	2	b250b750b1250f
2453	BigBlind	6dKs		200	2.000	1	2	b200b300f
2454	Button	5cQh	KsKc2c2d	500	5.000	3	5	b250c/kb250c/kb500f
2455	BigBlind	6s9s	Kh8h4dAh8d	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
2456	Button	6d4h	Qc9s5s	1250	12.500	3	4	b250b750b1250c/kb1250f
2457	BigBlind	9cQs		50	0.500	0	1	f
2458	Button	Kc6h		100	1.000	1	1	b300f
2459	BigBlind	5sQs	QhTh9sQd	3600	36.000	4	5	b200b300c/b450c/b1150b2850b7000f
2460	Button	Kh8s		100	1.000	1	1	b300f
2461	BigBlind	Tc2d	QdTs9s	300	3.000	2	3	b200b300c/b450f
2462	Button	3hQs	7s5s3c9s	1050	10.500	3	5	b250c/b250b800c/kb1600f
2463	BigBlind	QsAs		200	2.000	1	2	b200b450f
2464	Button	7d6s	8d4c3dQh	-5000	-50.000	5	6	b250b750b1250c/kb1250c/kb2500b17500f
2465	BigBlind	Kc7d	Js8h4c9d6h	-7200	-72.000	6	6	b200b300c/b300c/b600b1800b3000c/b3600b16400f
2466	Button	Kd3h	Th8h5h	300	3.000	2	3	b300c/kb300f
2467	BigBlind	6c5h		200	2.000	1	2	b200b300f
2468	Button	9dKd	Qs7s5d5s8d	1200	12.000	4	7	b300c/kb300c/kb600c/kb1200f
2469	BigBlind	5cQd		200	2.000	1	2	b200b300f
2470	Button	4d6h	7d6d3h	1050	10.500	3	4	b250c/kb400b800b2100f
2471	BigBlind	9dTh		50	0.500	0	1	f
2472	Button	8d4h		100	1.000	1	1	b250f
2473	BigBlind	4d3s	Ks2d2c	300	3.000	2	3	b200b300c/b300f
2474	Button	8d9d		100	1.000	1	1	b300f
2475	BigBlind	3dKh	Jc7h5s	300	3.000	2	3	b200b300c/b300f
2476	Button	5c7h	AsKhTs	250	2.500	2	3	b250c/kb250f
2477	BigBlind	3c6s	8c5c4s	300	3.000	2	3	b200b300c/b300f
2478	Button	3d4h	KsJhJd6c8s	-10000	-100.000	6	8	b250b750b1250c/kb1250c/kb2500c/kb5000b15000f
2479	BigBlind	5d2h	JcTc3sTdQd	-7200	-72.000	5	6	b200b300c/b300b900b1500c/b1800c/b3600c
2480	Button	AcKh		100	1.000	1	1	b300f
2481	BigBlind	5d8h	KsJs3d6sQd	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
2482	Button	2h4s	Js7d2dTs3h	10350	103.500	5	8	b250c/kb400c/kb650b2800b4950c/b4750b9500f
2483	BigBlind	Qc5h	AsTs3c6c	-3600	-36.000	5	5	b200b300c/b300c/b600b1800b3000b19400f
2484	Button	2hQh		750	7.500	2	2	b250b750b1250f
2485	BigBlind	7s8s	KsTs2s2h	750	7.500	3	4	b200b300c/b450c/b1150f
2486	Button	8c7h	Qs4s2d8s	3000	30.000	4	6	b250c/kb250c/kb750b2500b5700f
2487	BigBlind	2c4c	9s7c3s	300	3.000	2	3	b200b300c/b300f
2488	Button	3h4h	Ah8c5c6d	500	5.000	3	5	b250c/kb250c/kb500f
2489	BigBlind	Qd5s	8s4d2s3h2d	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
2490	Button	3c3d		100	1.000	1	1	b300f
2491	BigBlind	2h6h	Qc3s3cJh	600	6.000	3	4	b200b300c/b300c/b600f
2492	Button	TcAd	KcJh8cQc4h	20000	200.000	5	8	b300b900b1800c/kb2700c/kb6750c/kb8750c
2493	BigBlind	8c9h	TsTh4h5c	600	6.000	3	4	b200b300c/b300c/b600f
2494	Button	5sAs		100	1.000	1	1	b300f
2495	BigBlind	2hTs		1800	18.000	2	3	b200b300b1800b3300f
2496	Button	3c4s		750	7.500	2	2	b250b750b1250f
2497	BigBlind	4dTd		200	2.000	1	2	b200b300f
2498	Button	5d8d		100	1.000	1	1	b250f
2499	BigBlind	Tc3d		-3300	-33.000	3	3	b200b300b1800b3300b20000f
2500	Button	3h8h	Ad8s4d	250	2.500	2	3	b250c/kb400f
2501	BigBlind	9dAd	7d5h2s	3500	35.000	3	4	b200b450b1800b3500c/b5250f
2502	Button	6cJh	Td3d2c	250	2.500	2	3	b250c/kb250f
2503	BigBlind	8cTc	Qs7s2d	300	3.000	2	3	b200b300c/b300f
2504	Button	QdAh	AcTs9d9hJd	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
2505	BigBlind	4d3s		50	0.500	0	1	f
2506	Button	6d4h	Ks5c3s	250	2.500	2	3	b250c/kb250f
2507	BigBlind	5dKs	Kh8s7c6h	750	7.500	3	4	b200b300c/b450c/b1150f
2508	Button	6cKh		100	1.000	1	1	b300f
2509	BigBlind	4d8d	Kc8c5hQh2d	-20000	-200.000	5	5	b200b300c/b450c/b1150c/b2850b18100c
2510	Button	TcAs		100	1.000	1	1	b300f
2511	BigBlind	Qd3h	QsJcTd	1800	18.000	3	4	b200b300c/b450b1500b3400f
2512	Button	Ac5h		100	1.000	1	1	b300f
2513	BigBlind	Kc8s		50	0.500	0	1	f
2514	Button	Ad9h	Jd9c8c	600	6.000	2	3	b300c/b300b1000f
2515	BigBlind	KcKh	Qs9h7d	1850	18.500	3	4	b200b450c/b700b1400b3650f
2516	Button	Qc9h	7s7c2d7dAs	7200	72.000	5	8	b300c/kb300c/kb600c/kb1200b6000b10800f
2517	BigBlind	2h7s	Kc7c4h	1800	18.000	3	4	b200b300c/b450b1500b3400f
2518	Button	AcJh	KhQcTd	300	3.000	2	3	b300c/kb450f
2519	BigBlind	Qc6s	Kd9c2hAh	600	6.000	3	4	b200b300c/b300c/b600f
2520	Button	Th5s	Ac9h4c3d	500	5.000	3	5	b250c/kb250c/kb500f
2521	BigBlind	Kh3s	KsQc2h8s3c	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
2522	Button	4dTh	Ac3s2c	1000	10.000	3	4	b250c/kb250b750b1250f
2523	BigBlind	9hJs		50	0.500	0	1	f
2524	Button	3h5s		100	1.000	1	1	b250f
2525	BigBlind	6d7h	KhTd2sQs8h	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
2526	Button	4c9d	AsJs2d	250	2.500	2	3	b250c/kb250f
2527	BigBlind	8cJd	9s7d2sAh	6600	66.000	4	5	b200b300b1800b3300c/b3300c/b6600f
2528	Button	6dKh	Jh7h3c5hTs	-12000	-120.000	5	8	b300c/kb300b1500b2700c/kb3000c/kb6000c
2529	BigBlind	Jc3d		200	2.000	1	2	b200b300f
2530	Button	4c9s	QdTh2c6d	2500	25.000	4	6	b250b750b1250c/kb1250c/kb2500f
2531	BigBlind	7dAs		50	0.500	0	1	f
2532	Button	3cKd		100	1.000	1	1	b300f
2533	BigBlind	4dKd	KsKh5s	300	3.000	2	3	b200b300c/b450f
2534	Button	8c8d	AdJd7h3d6c	-4750	-47.500	4	7	b300c/kb450c/kb1150c/kb2850c
2535	BigBlind	8sAs	AdQs4h	450	4.500	2	3	b200b450c/b700f
2536	Button	9sJs		100	1.000	1	1	b300f
2537	BigBlind	8hAh	5h5d2dQcTh	-20000	-200.000	4	5	b200b450b1800b3500c/b5250c/b11250c/
2538	Button	3c4c		750	7.500	2	2	b250b750b1250f
2539	BigBlind	9h4s	AsTh7d	300	3.000	2	3	b200b300c/b300f
2540	Button	Td6h	AsTh8h	500	5.000	2	3	b250c/b250b800f
2541	BigBlind	5cAh	QhJhTd	1200	12.000	3	4	b200b300c/b300b900b1500f
2542	Button	7sTs		750	7.500	2	2	b250b750b1500f
2543	BigBlind	KcTs		200	2.000	1	2	b200b450f
2544	Button	JsQs		100	1.000	1	1	b300f
2545	BigBlind	7c3h	Qs8c3d6s	750	7.500	3	4	b200b300c/b450c/b1150f
2546	Button	2d6d		100	1.000	1	1	b250f
2547	BigBlind	4d9s		200	2.000	1	2	b200b300f
2548	Button	2cQs	AhKc9c7d5c	-10000	-100.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb5000c
2549	BigBlind	Jh6s	AsAh5c9h	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
2550	Button	9c2d	4d3d2h5c9d	-2500	-25.000	4	7	b250c/kb250c/kb500c/kb1500c
2551	BigBlind	Tc9h		50	0.500	0	1	f
2552	Button	QcTd		100	1.000	1	1	b300f
2553	BigBlind	8h7s	QdJh9h	300	3.000	2	3	b200b300c/b300f
2554	Button	JcTs		100	1.000	1	1	b300f
2555	BigBlind	6sJs		1800	18.000	2	3	b200b300b1800b3300f
2556	Button	5dTd		750	7.500	2	2	b250b750b1250f
2557	BigBlind	TcJs		50	0.500	0	1	f
2558	Button	JhAs		100	1.000	1	1	b300f
2559	BigBlind	5c9d		1800	18.000	2	3	b200b300b1800b3300f
2560	Button	Ah5s		100	1.000	1	1	b300f
2561	BigBlind	4c9s	8s7d5sAs6s	1200	12.000	4	5	b200b300c/b300c/b600c/b1800f
2562	Button	JsAs		100	1.000	1	1	b300f
2563	BigBlind	Kd5s	Jd5d2c4c	750	7.500	3	4	b200b300c/b450c/b1150f
2564	Button	AdQh	8s2d2c	1800	18.000	3	4	b300b900b1800c/kb2700f
2565	BigBlind	AdAh		50	0.500	0	1	f
2566	Button	3d3h		100	1.000	1	1	b300f
2567	BigBlind	6c4s	6s5d4hQc	750	7.500	3	4	b200b300c/b450c/b1150f
