hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4295	BigBlind	Ac8d	7cAh	JcTd6s	450	4.500	2	3	b200b450c/b450f
4296	Button	9cTh	2s8s		100	1.000	1	1	b300f
4297	BigBlind	9dJd	Kc4d	9c6c4c3s	750	7.500	3	4	b200b300c/b450c/b1150f
4298	Button	7h3s	Jc7d	Kd8c5h	250	2.500	2	3	b250c/kb250f
4299	BigBlind	KdAh	8d3h		50	0.500	0	1	f
4300	Button	Td2s	2dQh	Ac6s5c	250	2.500	2	3	b250c/kb250f
4301	BigBlind	8dAd	Tc2s		200	2.000	1	2	b200b450f
4302	Button	QhKh	7h4s		100	1.000	1	1	b300f
4303	BigBlind	4c5d	QdJs	QhJh7s2dQs	-7200	-72.000	6	6	b200b300c/b300c/b600b1800b3000c/b3600b16400f
4304	Button	2hAs	Kd3h		100	1.000	1	1	b300f
4305	BigBlind	3c7d	5c6s	KsKcQd6d9s	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4306	Button	6h6s	4h7h		900	9.000	2	2	b300b900b1800f
4307	BigBlind	5d2s	Qd2h		200	2.000	1	2	b200b300f
4308	Button	3c2s	QcJd	Ah8s6d6c	1750	17.500	4	6	b250b750b1250c/b250b500c/kb1750f
4309	BigBlind	4dJd	5cAs	QsJs2sQcAc	-3800	-38.000	4	5	b200b300c/b450c/b1150c/b1900c
4310	Button	3d8s	4c2h		100	1.000	1	1	b250f
4311	BigBlind	QdQh	2c4h		50	0.500	0	1	f
4312	Button	2h4h	8hKs	Th7h6c	11250	112.500	4	5	b250b750b1250c/b1000b2000b10000b18000f
4313	BigBlind	4hTs	6d8h	As7h6c6s8d	-7200	-72.000	5	6	b200b300c/b300c/b600c/b1200b3600b6000c
4314	Button	7d3h	7h8s	Kd5s5d	250	2.500	2	3	b250c/kb250f
4315	BigBlind	6dJh	4dTd	Ks6c2h	300	3.000	2	3	b200b300c/b450f
4316	Button	4cAd	6h9h	As8h7dJd	1300	13.000	3	5	b300c/b300b1000c/kb1950f
4317	BigBlind	Kc3s	9d6h	6d6c5d8cAs	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4318	Button	QdJh	3cQc	QhJs9d	2700	27.000	3	4	b300c/kb450b2400b5000f
4319	BigBlind	AcQs	Td8s	KdQc4h	450	4.500	2	3	b200b450c/b700f
4320	Button	8c3h	Th7s	QdJh2d	250	2.500	2	3	b250c/kb250f
4321	BigBlind	KcAd	5h2s		50	0.500	0	1	f
4322	Button	Jc9s	8cKd	Th8h7d2dJh	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
4323	BigBlind	9d2s	8c7h	KsQs4h2c	600	6.000	3	4	b200b300c/b300c/b600f
4324	Button	5d4h	6dAd	Ks4c2d3h5c	-4150	-41.500	4	7	b250c/kb400c/kb1000c/kb2500c
4325	BigBlind	8cAh	4c4d	8s3s2c	450	4.500	2	3	b200b450c/b700f
4326	Button	QhTs	2hJs		100	1.000	1	1	b300f
4327	BigBlind	7d6h	2d8d	AsTc5h	300	3.000	2	3	b200b300c/b300f
4328	Button	3cKd	QcKc	Jc7d4h	5400	54.000	3	4	b300b900b1800c/b3600b7200f
4329	BigBlind	8d8s	2c3c		200	2.000	1	2	b200b450f
4330	Button	6cAd	6dAs	8s5c3d	300	3.000	2	3	b300c/kb450f
4331	BigBlind	AdKh	4c7d		50	0.500	0	1	f
4332	Button	3cKs	6d7s	AsAc7h6s9c	-3800	-38.000	4	7	b300c/kb450c/kb1150c/kb1900c
4333	BigBlind	Ac3s	7hTs	QcJh4h	300	3.000	2	3	b200b300c/b300f
4334	Button	8c7h	2d6s		100	1.000	1	1	b250f
4335	BigBlind	QcKc	5dAh	9d8s6d2s	900	9.000	3	4	b200b450c/b450c/b900f
4336	Button	3c5d	7h8s	AcKc2d	250	2.500	2	3	b250c/kb250f
4337	BigBlind	3cJc	Qd3s		200	2.000	1	2	b200b300f
4338	Button	8d3h	TcAh	TsTd6h9cQd	-5500	-55.000	5	8	b250c/kb250b750b1250c/b500b1000c/b1500b3000c
4339	BigBlind	8d6h	5c9s		200	2.000	1	2	b200b300f
4340	Button	TdJs	2cJc	8s8d8c	300	3.000	2	3	b300c/kb300f
4341	BigBlind	6cKd	6h8h	8s6s6dAhAd	0	0.000	5	6	b200b300c/b450b900b2350c/b4000c/b10000c
4342	Button	5d4s	AcAs	7s5h3cJh7h	-20000	-200.000	4	3	b250b750b1250b6750b12250b20000c///
4343	BigBlind	QcJd	8cJh	AcQh4h	300	3.000	2	3	b200b300c/b450f
4344	Button	9d5h	6d3h		100	1.000	1	1	b250f
