hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
67	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
67	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:2.00	b200
67	3	Turn	BigBlind	8.000	0.000	196.000	Check,Raise:4.00,Raise:6.00	Raise:4.00	b400
68	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
68	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
70	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
70	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
70	3	Turn	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
70	4	River	Button	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Check	k
71	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
71	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
71	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
72	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
73	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
73	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
73	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Raise:4.50	b650
74	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
74	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:7.50	b1500
74	3	Preflop	Button	82.500	52.500	185.000	Fold,Call,Raise:52.50,Raise:62.00	Raise:62.00	b12950
74	4	Preflop	Button	329.500	70.500	70.500	Fold,Call	Call	c
75	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
75	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Raise:4.50	b450
76	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
76	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Check	k
76	3	Turn	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Check	k
76	4	River	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Check	k
77	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
77	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Raise:4.50	b450
78	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
78	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
78	3	Preflop	Button	99.000	63.000	182.000	Fold,Call,Raise:63.00,Raise:74.50	Raise:74.50	b15550
78	4	Preflop	Button	355.500	44.500	44.500	Fold,Call	Call	c
79	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
79	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
79	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
80	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
80	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
80	3	Turn	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
81	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
81	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
81	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
82	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
82	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
82	3	Turn	Button	9.000	3.000	197.000	Fold,Call,Raise:3.00,Raise:7.00	Fold	f
83	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
83	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
83	3	Flop	BigBlind	22.500	13.500	195.500	Fold,Call,Raise:13.50,Raise:17.00	Raise:17.00	b3050
83	4	Turn	BigBlind	70.000	0.000	165.000	Check,Raise:35.00,Raise:52.50	Raise:35.00	b3500
83	5	River	BigBlind	140.000	0.000	130.000	Check,Raise:70.00,Raise:105.00	Check	k
84	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
84	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:7.50	b1500
85	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
85	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
85	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:3.00	b300
86	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
87	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
87	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
87	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
87	4	River	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
88	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
88	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
88	3	Flop	Button	37.000	1.000	182.000	Fold,Call,Raise:1.00,Raise:28.00	Raise:28.00	b2900
90	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
90	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
