hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4283	BigBlind	3cQc	7hKh	Jc9s2h5c	600	6.000	3	4	b200b300c/b300c/b600f
4284	Button	4h9h	Qc9s	KcQh5dKd	650	6.500	3	5	b250c/kb400c/kb1000f
4285	BigBlind	4c6d	4d6s	Tc8d2d	300	3.000	2	3	b200b300c/b300f
4286	Button	2h3h	3d4h	Qh7d4sKsJc	1000	10.000	4	7	b250c/kb250c/kb500c/kb1000f
4287	BigBlind	KhKs	7dQs		200	2.000	1	2	b200b450f
4288	Button	5c4h	Qc8s	7h5h3s	250	2.500	2	3	b250c/kb400f
4289	BigBlind	7cJh	Ad4s	JsTd5h	300	3.000	2	3	b200b300c/b450f
4290	Button	AcAh	4d5h	Ks6s6c	300	3.000	2	3	b300c/kb450f
4291	BigBlind	AcTs	9dJd	QsQhTc8d5c	-20000	-200.000	5	5	b200b450c/b700c/b1750b6050b13650b18850c/
4292	Button	5sAs	6hKs	AcTs3dQc	750	7.500	3	5	b300c/kb450c/kb1150f
4293	BigBlind	9h7s	9cAh	AcJc8c5dKs	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4294	Button	Tc7d	QdAs	Ks8d8c	1250	12.500	3	4	b250b750b1250c/kb1900f
4295	BigBlind	5h9h	Kc3s	AsQc2c	300	3.000	2	3	b200b300c/b300f
4296	Button	2d4s	7h7s	5h4h2h	1250	12.500	3	4	b250b750b1250c/kb1900f
4297	BigBlind	4h8s	7dKh	Qc7c3c	300	3.000	2	3	b200b300c/b300f
4298	Button	7h8h	5d2h		100	1.000	1	1	b250f
4299	BigBlind	7cKs	KcAc	9s8s3cAd8c	-20000	-200.000	3	3	b200b300b1800b3300b20000c///
4300	Button	2c5s	TcQs	Ah7s3d	500	5.000	2	3	b250c/b250b500f
4301	BigBlind	Kd2h	9d8s	KhKc7s	300	3.000	2	3	b200b300c/b450f
4302	Button	Qd9h	3cKs		100	1.000	1	1	b300f
4303	BigBlind	8sJs	Ac3d	7d4s2d5h3s	-7200	-72.000	5	6	b200b300c/b300c/b600b1800b3000c/b3600c
4304	Button	9c2h	Ad8s		750	7.500	2	2	b250b750b1250f
4305	BigBlind	4cKs	Ah2s	QsTs2d3d3h	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4306	Button	Tc8h	AcQd	Ts9h7h	1250	12.500	3	4	b250b750b1250c/kb1900f
4307	BigBlind	9d8h	2h6h		200	2.000	1	2	b200b300f
4308	Button	JhKs	Qc5h		100	1.000	1	1	b300f
4309	BigBlind	2cQc	7c2d		50	0.500	0	1	f
4310	Button	KcAh	6dQs		100	1.000	1	1	b300f
4311	BigBlind	6dKs	Ac9d	Ah8c4s3sJd	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4312	Button	3h5h	4c9d	Jd2d2c	500	5.000	2	3	b250c/b250b500f
4313	BigBlind	9c7s	Kc7h	TsTd6c5d	600	6.000	3	4	b200b300c/b300c/b600f
4314	Button	Jc9s	3c7h		100	1.000	1	1	b300f
4315	BigBlind	KcQh	6h2s		50	0.500	0	1	f
4316	Button	Th8s	6d5h	9h3s3c	250	2.500	2	3	b250c/kb400f
4317	BigBlind	4dJd	3dQh	Tc5s4h	300	3.000	2	3	b200b300c/b450f
4318	Button	Kc8d	2c9d		100	1.000	1	1	b300f
4319	BigBlind	Ad3s	TcKc	Ah5h4d	300	3.000	2	3	b200b300c/b450f
4320	Button	6h5s	4d9h	QcTh6c	250	2.500	2	3	b250c/kb400f
4321	BigBlind	7c2d	JdQs	9s7h2h8c7s	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
4322	Button	Kh9s	4s6s	6c5d3d9hKd	20000	200.000	5	5	b300c/kb450b900b2350b10500b18650b19700c//
4323	BigBlind	8d9h	Kc2d		200	2.000	1	2	b200b300f
4324	Button	QdTh	3c3s	9h9d7s2h8h	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
4325	BigBlind	Kd4s	7cAs	6s6h2c	300	3.000	2	3	b200b300c/b300f
4326	Button	2h4s	2cKs	Qd8h4d	250	2.500	2	3	b250c/kb400f
4327	BigBlind	Td3h	3dQs	QdJh2d5s	2400	24.000	4	5	b200b300c/b300c/b600b1800b3000f
4328	Button	9hAs	2cKd		100	1.000	1	1	b300f
4329	BigBlind	2dJd	Jc3s	JhTs6h	300	3.000	2	3	b200b300c/b450f
4330	Button	Kc9h	JhJs	Ac5h4c4d7s	-20000	-200.000	4	3	b300b900b1800b8100b15550b20000c///
4331	BigBlind	AcJd	2dTh		200	2.000	1	2	b200b450f
4332	Button	AdAh	Kc3d		100	1.000	1	1	b300f
4333	BigBlind	6h8h	6d8s	KdQs8c	300	3.000	2	3	b200b300c/b450f
4334	Button	QcAh	6cAd	Th9d3s	300	3.000	2	3	b300c/kb450f
4335	BigBlind	4d2h	Tc2s		200	2.000	1	2	b200b300f
4336	Button	6cTh	2h5h		750	7.500	2	2	b250b750b1250f
4337	BigBlind	8h2s	2c3d		50	0.500	0	1	f
4338	Button	7h9h	9cKh	Qd6s4h	250	2.500	2	3	b250c/kb400f
4339	BigBlind	5c9s	7d2h		50	0.500	0	1	f
4340	Button	Tc5d	Ac8s	Td6d3d	1250	12.500	3	4	b250b750b1250c/kb1900f
4341	BigBlind	7dKs	ThAh	9c3d3cQh	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
