rank	key	hero	villain	heroClass	villainClass	win	tie	loss	equity	stderr
84	82945	2c3c	6c6d	32s	66	0.178109728179	0.014915575739	0.806974696082	0.185567516049	0.000000000000
85	83200	2c3c	6c7c	32s	76s	0.297168610247	0.073272619815	0.629558769938	0.333804920154	0.000000000000
86	83201	2c3c	6c7d	32s	76o	0.340622926770	0.071921224269	0.587455848961	0.376583538904	0.000000000000
87	83204	2c3c	7c6d	32s	76o	0.340242737271	0.072018753679	0.587738509050	0.376252114111	0.000000000000
88	83456	2c3c	6c8c	32s	86s	0.308957988768	0.049099342173	0.641942669059	0.333507659855	0.000000000000
89	83457	2c3c	6c8d	32s	86o	0.352222502546	0.047921981144	0.599855516310	0.376183493118	0.000000000000
90	83460	2c3c	8c6d	32s	86o	0.351754711780	0.048065063213	0.600180225007	0.375787243387	0.000000000000
91	83712	2c3c	6c9c	32s	96s	0.317298213401	0.032538614639	0.650163171960	0.333567520721	0.000000000000
92	83713	2c3c	6c9d	32s	96o	0.360386356628	0.031462871079	0.608150772293	0.376117792168	0.000000000000
93	83716	2c3c	9c6d	32s	96o	0.359769059700	0.031631065512	0.608599874789	0.375584592456	0.000000000000
94	83968	2c3c	6cTc	32s	T6s	0.321117628645	0.021990838075	0.656891533279	0.332113047683	0.000000000000
95	83969	2c3c	6cTd	32s	T6o	0.364157299171	0.020963567217	0.614879133612	0.374639082780	0.000000000000
96	83972	2c3c	Tc6d	32s	T6o	0.363518977938	0.021131761650	0.615349260412	0.374084858763	0.000000000000
97	84224	2c3c	6cJc	32s	J6s	0.325848097067	0.016108120988	0.658043781945	0.333902157561	0.000000000000
98	84225	2c3c	6cJd	32s	J6o	0.368817686579	0.015125234771	0.616057078650	0.376380303965	0.000000000000
99	84228	2c3c	Jc6d	32s	J6o	0.368163597118	0.015258388697	0.616578014184	0.375792791467	0.000000000000
100	84480	2c3c	6cQc	32s	Q6s	0.325721951242	0.012098902999	0.662179145759	0.331771402742	0.000000000000
101	84481	2c3c	6cQd	32s	Q6o	0.368702052906	0.011170913576	0.620127033517	0.374287509695	0.000000000000
102	84484	2c3c	Qc6d	32s	Q6o	0.368037451294	0.011233986488	0.620728562218	0.373654444538	0.000000000000
103	84736	2c3c	6cKc	32s	K6s	0.326506858595	0.009348807221	0.664144334184	0.331181262206	0.000000000000
104	84737	2c3c	6cKd	32s	K6o	0.369475864099	0.008476298601	0.622047837300	0.373714013399	0.000000000000
105	84740	2c3c	Kc6d	32s	K6o	0.368806006410	0.008483306703	0.622710686887	0.373047659761	0.000000000000
106	84992	2c3c	6cAc	32s	A6s	0.327923079079	0.006800778366	0.665276142554	0.331323468263	0.000000000000
107	84993	2c3c	6cAd	32s	A6o	0.370670745382	0.005993678693	0.623335575926	0.373667584728	0.000000000000
108	84996	2c3c	Ac6d	32s	A6o	0.370560367785	0.005934693839	0.623504938375	0.373527714705	0.000000000000
109	87297	2c3c	7c7d	32s	77	0.181037362524	0.015744867734	0.803217769742	0.188909796391	0.000000000000
110	87552	2c3c	7c8c	32s	87s	0.292394341192	0.046148347490	0.661457311319	0.315468514937	0.000000000000
111	87553	2c3c	7c8d	32s	87o	0.336113797550	0.044993178781	0.618893023669	0.358610386941	0.000000000000
112	87556	2c3c	8c7d	32s	87o	0.336113797550	0.045111732496	0.618774469954	0.358669663798	0.000000000000
113	87808	2c3c	7c9c	32s	97s	0.310715854194	0.031912557583	0.657371588223	0.326672132986	0.000000000000
114	87809	2c3c	7c9d	32s	97o	0.353455928387	0.030835646007	0.615708425607	0.368873751390	0.000000000000
115	87812	2c3c	9c7d	32s	97o	0.353454760370	0.030979312085	0.615565927546	0.368944416412	0.000000000000
116	88064	2c3c	7cTc	32s	T7s	0.314535269438	0.021889220606	0.663575509956	0.325479879741	0.000000000000
117	88065	2c3c	7cTd	32s	T7o	0.357226870929	0.020857277680	0.621915851391	0.367655509769	0.000000000000
118	88068	2c3c	Tc7d	32s	T7o	0.357204678608	0.021000943758	0.621794377634	0.367705150487	0.000000000000
119	88320	2c3c	7cJc	32s	J7s	0.319265737860	0.016085344658	0.664648917482	0.327308410189	0.000000000000
120	88321	2c3c	7cJd	32s	J7o	0.361887258337	0.015097786374	0.623014955288	0.369436151524	0.000000000000
121	88324	2c3c	Jc7d	32s	J7o	0.361849297788	0.015206411946	0.622944290266	0.369452503761	0.000000000000
