hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
51	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
51	3	Turn	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
51	4	River	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
52	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
52	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
53	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
53	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
53	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
54	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
54	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Raise:1.50	b150
54	3	Turn	Button	6.500	1.500	197.500	Fold,Call,Raise:1.50,Raise:5.00	Raise:1.50	b300
54	4	River	Button	13.500	2.500	194.500	Fold,Call,Raise:2.50,Raise:10.00	Raise:2.50	b500
55	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
55	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
55	3	Flop	BigBlind	15.000	9.000	197.000	Fold,Call,Raise:9.00,Raise:11.50	Fold	f
56	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
56	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Check	k
56	3	Turn	Button	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b200
56	4	River	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
57	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
57	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
57	3	Flop	BigBlind	7.000	1.000	197.000	Fold,Call,Raise:1.00,Raise:5.50	Raise:1.00	b200
57	4	Turn	BigBlind	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Check	k
57	5	River	BigBlind	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Check	k
58	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
58	2	Preflop	Button	4.000	2.000	199.000	Fold,Call,Raise:2.00,Raise:3.00	Raise:2.00	b500
58	3	Flop	Button	11.000	1.000	195.000	Fold,Call,Raise:1.00,Raise:8.50	Raise:1.00	b200
58	4	Turn	Button	14.000	0.000	193.000	Check,Raise:7.00,Raise:10.50	Check	k
